DATE,LPMAVAA,LPMBL22
31 Jan 2010,56000,153796
28 Feb 2010,55360,156405
31 Mar 2010,56111,152275
30 Apr 2010,56748,151883
31 May 2010,56947,150950
30 Jun 2010,57247,149737
31 Jul 2010,56969,150051
31 Aug 2010,57070,150370
30 Sep 2010,57280,144380
31 Oct 2010,57055,143153
30 Nov 2010,57323,143494
31 Dec 2010,59641,139953
31 Jan 2011,58133,139245
28 Feb 2011,57427,138500
31 Mar 2011,57825,135420
30 Apr 2011,59013,132537
31 May 2011,59264,131523
30 Jun 2011,59486,128903
31 Jul 2011,60003,127196
31 Aug 2011,60241,127632
30 Sep 2011,60324,124730
31 Oct 2011,60584,131759
30 Nov 2011,61167,151509
31 Dec 2011,63066,163905
31 Jan 2012,61186,173512
29 Feb 2012,60574,189319
31 Mar 2012,61043,202273
30 Apr 2012,61918,218099
31 May 2012,61669,230390
30 Jun 2012,62643,228207
31 Jul 2012,62950,235349
31 Aug 2012,63444,251655
30 Sep 2012,63178,262294
31 Oct 2012,63225,274873
30 Nov 2012,63653,281259
31 Dec 2012,65616,275684
31 Jan 2013,63969,274377
28 Feb 2013,63326,277302
31 Mar 2013,64229,278693
30 Apr 2013,64809,285130
31 May 2013,65282,288784
30 Jun 2013,65390,289740
31 Jul 2013,65935,293575
31 Aug 2013,66308,296482
30 Sep 2013,66102,295104
31 Oct 2013,66099,299561
30 Nov 2013,66591,302225
31 Dec 2013,68574,298828
31 Jan 2014,66706,300032
28 Feb 2014,65937,304469
31 Mar 2014,66323,300341
30 Apr 2014,67537,301449
31 May 2014,67667,304891
30 Jun 2014,67753,304105
31 Jul 2014,68312,303621
31 Aug 2014,68764,303570
30 Sep 2014,69003,292432
31 Oct 2014,69315,299984
30 Nov 2014,69976,304391
31 Dec 2014,72362,300587
31 Jan 2015,70165,303573
28 Feb 2015,70000,306701
31 Mar 2015,70568,305112
30 Apr 2015,71601,308012
31 May 2015,71799,315381
30 Jun 2015,71990,315525
31 Jul 2015,72678,316355
31 Aug 2015,73093,317491
30 Sep 2015,73198,308627
31 Oct 2015,73394,315244
30 Nov 2015,73906,315332
31 Dec 2015,75838,305858
31 Jan 2016,74163,313494
29 Feb 2016,74130,315819
31 Mar 2016,75439,314101
30 Apr 2016,76020,318432
31 May 2016,76798,317832
30 Jun 2016,77444,316133
31 Jul 2016,78687,318926
31 Aug 2016,79346,325692
30 Sep 2016,79724,320935
31 Oct 2016,79964,336625
30 Nov 2016,80728,352619
31 Dec 2016,82756,367544
31 Jan 2017,81122,380671
28 Feb 2017,80289,399476
31 Mar 2017,80602,415059
30 Apr 2017,81814,431208
31 May 2017,81782,437395
30 Jun 2017,81901,439982
31 Jul 2017,82449,446961
31 Aug 2017,82462,447672
30 Sep 2017,82649,441318
31 Oct 2017,82306,456269
30 Nov 2017,82430,457683
31 Dec 2017,83736,461471
31 Jan 2018,81614,469224
28 Feb 2018,80340,481382
31 Mar 2018,80593,477273
30 Apr 2018,80825,491975
31 May 2018,81117,493439
30 Jun 2018,81400,488956
31 Jul 2018,82054,487315
31 Aug 2018,82345,489717
30 Sep 2018,82299,488734
31 Oct 2018,82073,491451
30 Nov 2018,82229,489496
31 Dec 2018,83865,485767
31 Jan 2019,82310,487824
28 Feb 2019,81167,490517
31 Mar 2019,81374,475034
30 Apr 2019,82114,488981
31 May 2019,82172,492419
30 Jun 2019,82538,489726
31 Jul 2019,83189,486224
31 Aug 2019,83651,484818
30 Sep 2019,83533,471211
31 Oct 2019,83324,483996
30 Nov 2019,83047,484971
31 Dec 2019,84266,478799
31 Jan 2020,82672,474445
29 Feb 2020,81275,475961
31 Mar 2020,81549,468995
30 Apr 2020,82139,552371
31 May 2020,83645,635849
30 Jun 2020,85923,680497
31 Jul 2020,87916,705222
31 Aug 2020,88855,727231
30 Sep 2020,89337,725714
31 Oct 2020,89619,746770
30 Nov 2020,90005,766641
31 Dec 2020,91895,769729
31 Jan 2021,91912,771576
28 Feb 2021,91851,792095
31 Mar 2021,92843,798774
30 Apr 2021,94069,808703
31 May 2021,94803,827960
30 Jun 2021,95204,828269
31 Jul 2021,95372,843451
31 Aug 2021,95600,851666
30 Sep 2021,95844,853501
31 Oct 2021,95732,899182
30 Nov 2021,95688,965104
31 Dec 2021,96420,970294
31 Jan 2022,95137,976913
28 Feb 2022,94052,975318
31 Mar 2022,94235,951949
30 Apr 2022,94708,952035
31 May 2022,94797,952602
30 Jun 2022,95274,951450
31 Jul 2022,95049,945666
31 Aug 2022,95048,950478
30 Sep 2022,94620,943049
31 Oct 2022,93849,952491
30 Nov 2022,93892,951418
31 Dec 2022,95336,935331
31 Jan 2023,94162,920933
28 Feb 2023,93325,913734
31 Mar 2023,93376,907540
30 Apr 2023,93832,894516
31 May 2023,94179,883317
30 Jun 2023,94228,876014
31 Jul 2023,94323,858807
31 Aug 2023,94146,839545
30 Sep 2023,94012,820247
31 Oct 2023,94024,815552
30 Nov 2023,94393,806133
31 Dec 2023,95741,804025
31 Jan 2024,94751,794081
29 Feb 2024,94225,787895
31 Mar 2024,94751,790084
30 Apr 2024,95129,787534
31 May 2024,95440,765834
30 Jun 2024,95791,767821
31 Jul 2024,96176,759800
31 Aug 2024,96438,758209
30 Sep 2024,96323,742407
31 Oct 2024,96592,727107
30 Nov 2024,97170,728574
31 Dec 2024,98756,717631
31 Jan 2025,97800,711916
28 Feb 2025,97617,710511
31 Mar 2025,98101,697244
30 Apr 2025,99049,692923
31 May 2025,99688,693517
30 Jun 2025,99929,676441
