date,household_non_interest,ofc_non_interest,nfc_non_interest,ofc_cash,nfc_cash,household_cash,household_interest,ofc_interest,nfc_interest,general_gov,public_corp,non_residents,m1,cash_percent,household_percent,nfc_percent,ofc_percent,non_residents_percent,government_percent
2010-01-31,74540,20919,24741,83,4055,45714,457977,182914,131169,47312,3265,135650,1128339,4.42,51.25,14.18,18.07,12.02,4.48
2010-02-28,77783,19490,26424,83,4028,45416,460582,179730,131802,41396,3206,129119,1119059,4.43,52.17,14.5,17.81,11.54,3.99
2010-03-31,79066,18201,28166,83,4082,46018,463945,187103,139655,39170,2950,129068,1137507,4.41,51.78,15.11,18.06,11.35,3.7
2010-04-30,79149,21312,27035,83,4116,46387,464467,178193,132239,37050,2802,121759,1114592,4.54,52.93,14.66,17.91,10.92,3.58
2010-05-31,79173,22826,26357,83,4186,47161,462896,178744,132454,39988,2923,136848,1133639,4.54,51.98,14.38,17.79,12.07,3.79
2010-06-30,78557,22346,28043,83,4089,46091,462241,183437,136806,41794,2897,141997,1148381,4.38,51.11,14.71,17.93,12.36,3.89
2010-07-31,76902,20877,27302,83,4108,46299,461780,174613,135102,41023,2911,139522,1130522,4.47,51.74,14.73,17.3,12.34,3.89
2010-08-31,77084,20249,26862,83,4055,45716,459680,168112,134622,32453,3195,139108,1111219,4.49,52.42,14.9,16.96,12.52,3.21
2010-09-30,77711,20772,28424,83,4048,45642,460656,164492,138354,33494,3253,141595,1118524,4.45,52.21,15.27,16.57,12.66,3.29
2010-10-31,93526,22500,26231,83,4174,47036,445676,169020,135971,36533,3178,144485,1128413,4.55,51.95,14.74,16.98,12.8,3.52
2010-11-30,99044,20666,34489,83,4156,46837,446139,156917,135239,33678,3102,132966,1113316,4.59,53.18,15.62,15.96,11.94,3.3
2010-12-31,107383,24269,36931,83,4259,47970,440720,154472,135079,31752,3162,130401,1116481,4.69,53.39,15.79,16.02,11.68,3.13
2011-01-31,106460,22026,34461,83,4172,47013,435460,152547,130441,35312,3171,126354,1097500,4.67,53.66,15.41,15.91,11.51,3.51
2011-02-28,108295,21329,33499,83,4183,47129,433792,151058,131088,31491,3448,132470,1097865,4.68,53.67,15.37,15.71,12.07,3.18
2011-03-31,109030,20538,36788,83,4186,47165,434493,160240,141243,29489,2812,132042,1118109,4.6,52.83,16.3,16.18,11.81,2.89
2011-04-30,109867,24561,35270,83,4304,48471,432948,154132,132004,34616,3758,123703,1103717,4.79,53.57,15.55,16.2,11.21,3.48
2011-05-31,107415,23922,36745,83,4249,47857,426856,159786,137191,37371,3662,133526,1118663,4.67,52.04,15.93,16.43,11.94,3.67
2011-06-30,107313,19483,38363,83,4268,48067,425733,158071,141083,39675,3836,140309,1126284,4.65,51.6,16.31,15.77,12.46,3.86
2011-07-31,108039,22345,37194,83,4362,49110,426298,153421,136556,42216,3785,133600,1117009,4.79,52.23,15.95,15.74,11.96,4.12
2011-08-31,107893,24070,38139,83,4294,48353,425240,159186,136312,39195,3834,133890,1120489,4.71,51.9,15.95,16.36,11.95,3.84
2011-09-30,109565,23411,36588,83,4337,48832,429444,153995,143914,38680,3690,140289,1132828,4.7,51.89,16.32,15.67,12.38,3.74
2011-10-31,108623,20420,35647,83,4390,49423,432492,151971,139007,37635,3829,137165,1120685,4.81,52.69,15.98,15.39,12.24,3.7
2011-11-30,110340,13742,40558,83,4422,49773,433096,162625,136242,37120,3842,125935,1117778,4.86,53.07,16.21,15.79,11.27,3.66
2011-12-31,112625,17808,43290,83,4484,50457,437247,149101,133865,35512,4206,133398,1122076,4.9,53.5,16.19,14.88,11.89,3.54
2012-01-31,110407,16471,39862,83,4347,48942,433949,151607,132488,42651,3901,127873,1112581,4.8,53.33,15.88,15.11,11.49,4.18
2012-02-29,113722,17852,43013,83,4369,49185,435258,146555,128917,38932,3921,125599,1107406,4.84,54.01,15.92,14.85,11.34,3.87
2012-03-31,116458,19948,45311,83,4464,50232,437571,150616,134364,30909,3759,126944,1120659,4.89,53.92,16.43,15.23,11.33,3.09
2012-04-30,114201,20840,43617,83,4438,49952,434916,145171,132048,41240,3830,121550,1111886,4.9,53.88,16.2,14.94,10.93,4.05
2012-05-31,112748,17299,44994,83,4450,50085,434265,145106,132817,47225,3769,127692,1120533,4.87,53.29,16.27,14.5,11.4,4.55
2012-06-30,115509,18852,46103,83,4535,51017,444192,152639,135620,42349,3706,133659,1148264,4.85,53.19,16.22,14.94,11.64,4.01
2012-07-31,113920,22540,46191,83,4499,50620,444412,147600,133447,42946,3797,129332,1139387,4.84,53.45,16.16,14.94,11.35,4.1
2012-08-31,117450,24823,46304,83,4535,51019,449495,147566,133642,44867,3820,130798,1154402,4.82,53.53,15.98,14.94,11.33,4.22
2012-09-30,116068,22371,47281,83,4552,51206,454426,150532,136967,42013,3647,134457,1163603,4.8,53.43,16.23,14.87,11.56,3.92
2012-10-31,115420,22671,47136,83,4515,50804,458430,150237,135373,40286,3634,139514,1168103,4.74,53.48,16.01,14.81,11.94,3.76
2012-11-30,119727,31319,48652,83,4639,52170,465040,149484,137694,41957,3591,130202,1184558,4.8,53.77,16.12,15.27,10.99,3.85
2012-12-31,118050,29479,51560,83,4718,53039,470777,150074,139289,38147,3201,135251,1193668,4.85,53.77,16.38,15.05,11.33,3.46
2013-01-31,116474,27207,47575,83,4554,51229,472058,154119,142021,43694,3495,131272,1193781,4.68,53.59,16.26,15.2,11.0,3.95
2013-02-28,119429,26092,48442,83,4585,51576,479720,155461,142204,46023,3405,140514,1217534,4.62,53.45,16.03,14.92,11.54,4.06
2013-03-31,123753,30693,49548,83,4709,52946,484776,159841,145435,33198,3650,130909,1219541,4.73,54.24,16.37,15.63,10.73,3.02
2013-04-30,121098,32582,50443,83,4665,52456,483618,153080,144159,39693,3491,126971,1212339,4.72,54.21,16.44,15.32,10.47,3.56
2013-05-31,121331,30146,51663,83,4774,53656,490591,149058,146221,39547,3578,133836,1224484,4.78,54.36,16.55,14.64,10.93,3.52
2013-06-30,123747,30674,52547,83,4808,54034,494909,152988,150600,42258,3426,142652,1252726,4.7,53.7,16.6,14.67,11.39,3.65
2013-07-31,124850,37307,53493,83,4770,53622,494595,149308,150273,47099,3361,136036,1254797,4.66,53.64,16.62,14.88,10.84,4.02
2013-08-31,126832,38873,53753,83,4806,54018,501303,149902,150039,43109,3679,134012,1260409,4.67,54.12,16.55,14.98,10.63,3.71
2013-09-30,127008,30598,54073,83,4826,54239,505477,162439,155509,40875,3538,140523,1279188,4.62,53.68,16.76,15.1,10.99,3.47
2013-10-31,128762,29886,55488,83,4811,54068,513483,157642,155793,43837,3054,138835,1285742,4.59,54.16,16.81,14.59,10.8,3.65
2013-11-30,133239,32567,55633,83,4914,55212,519927,160111,159879,42021,3474,140565,1307625,4.6,54.17,16.86,14.74,10.75,3.48
2013-12-31,130416,33714,58725,83,4943,55524,527272,156318,163288,38381,3738,145396,1317798,4.59,54.12,17.22,14.43,11.03,3.2
2014-01-31,132407,31079,55114,83,4824,54216,528284,157791,159989,48902,3655,137481,1313825,4.5,54.41,16.74,14.38,10.46,4.0
2014-02-28,135549,32106,54560,83,4849,54493,534686,153681,161749,48542,3669,140432,1324399,4.49,54.72,16.7,14.03,10.6,3.94
2014-03-31,136482,31350,57348,83,4896,55011,538310,166386,167347,42938,3588,143337,1347076,4.45,54.18,17.04,14.69,10.64,3.45
2014-04-30,137106,29808,57674,83,4886,54901,540431,165281,163060,41993,3724,131123,1330070,4.5,55.07,16.96,14.67,9.86,3.44
2014-05-31,138702,27538,57798,83,4973,55854,545975,167584,165813,40908,3731,141090,1350049,4.51,54.85,16.93,14.46,10.45,3.31
2014-06-30,139734,30874,60212,83,4993,56080,548387,170924,171494,39975,3675,144330,1370761,4.46,54.29,17.27,14.73,10.53,3.18
2014-07-31,139900,27232,62152,83,5008,56245,542937,167243,170632,44809,3783,145022,1365046,4.49,54.14,17.42,14.25,10.62,3.56
2014-08-31,142628,24974,61225,83,5083,57076,545941,170194,169918,46779,3722,140505,1368128,4.55,54.5,17.27,14.27,10.27,3.69
2014-09-30,142587,29303,63454,83,5044,56645,549820,168660,174056,39746,3557,146254,1379209,4.48,54.31,17.59,14.36,10.6,3.14
2014-10-31,145482,29734,64563,83,5123,57511,554901,154677,172958,46025,3493,144177,1378727,4.55,54.97,17.6,13.38,10.46,3.59
2014-11-30,147432,32360,67566,83,5246,58871,556869,157217,173092,45767,4185,145187,1393875,4.61,54.75,17.64,13.61,10.42,3.58
2014-12-31,147608,30236,74009,83,5214,58527,560990,160963,172888,41679,3566,150731,1406494,4.54,54.54,17.92,13.6,10.72,3.22
2015-01-31,149462,31221,70355,83,5117,57445,557135,165227,171744,44433,3499,146519,1402240,4.47,54.49,17.63,14.02,10.45,3.42
2015-02-28,153041,33016,70772,83,5149,57810,560494,157903,171281,43104,3428,142548,1398629,4.51,55.15,17.67,13.66,10.19,3.33
2015-03-31,152517,33958,74622,83,5179,58131,562472,169958,181800,40133,3213,158621,1440687,4.4,53.66,18.16,14.16,11.01,3.01
2015-04-30,153577,35407,74532,83,5205,58421,563507,164229,173920,44546,3247,143921,1420595,4.48,54.59,17.86,14.06,10.13,3.36
2015-05-31,155979,35536,74583,83,5288,59335,567127,161653,175461,43939,3207,144400,1426591,4.54,54.85,17.9,13.83,10.12,3.3
2015-06-30,156042,36804,76477,83,5235,58760,574783,162337,182715,44115,3292,149164,1449807,4.42,54.46,18.24,13.74,10.29,3.27
2015-07-31,158423,37526,76787,83,5315,59640,575158,161573,183568,44741,3324,146148,1452286,4.48,54.62,18.29,13.72,10.06,3.31
2015-08-31,161260,35518,76152,83,5367,60217,577444,151891,180928,47665,3517,150071,1450113,4.53,55.09,18.1,12.93,10.35,3.53
2015-09-30,160831,37947,78822,83,5296,59430,579055,156722,186913,38884,3552,158909,1466444,4.42,54.51,18.48,13.28,10.84,2.89
2015-10-31,164520,38649,82208,83,5399,60565,585638,152302,184900,39782,3512,143841,1461399,4.52,55.48,18.65,13.07,9.84,2.96
2015-11-30,164346,37711,81351,83,5472,61370,587792,156777,189499,42118,3479,150548,1480546,4.52,54.95,18.66,13.14,10.17,3.08
2015-12-31,167391,37030,85076,83,5534,62052,594332,149823,188824,39542,3885,158148,1491720,4.54,55.22,18.73,12.53,10.6,2.91
2016-01-31,168317,41096,81806,83,5459,61228,593394,151112,184925,39706,3914,158484,1489524,4.48,55.25,18.27,12.91,10.64,2.93
2016-02-29,168816,41338,82087,83,5481,61471,598819,159792,188340,38132,3869,158086,1506314,4.45,55.04,18.32,13.36,10.49,2.79
2016-03-31,173923,41179,85851,83,5530,62015,605267,161653,197779,33722,3877,166282,1537161,4.4,54.72,18.81,13.2,10.82,2.45
2016-04-30,176814,39264,84298,83,5626,63073,612471,151441,185125,44135,3630,161550,1527510,4.5,55.8,18.01,12.49,10.58,3.13
2016-05-31,161938,40664,85992,83,5622,63030,630130,163422,187162,43300,3561,152548,1537452,4.47,55.62,18.13,13.28,9.92,3.05
2016-06-30,163589,43174,90388,83,5625,63067,634583,182424,195624,42565,3599,166716,1591437,4.32,54.12,18.33,14.18,10.48,2.9
2016-07-31,166056,41754,90057,83,5762,64577,638134,182020,192466,41435,3515,176575,1602434,4.39,54.22,17.99,13.97,11.02,2.81
2016-08-31,163769,43993,93139,83,5725,64168,641463,181087,192510,43069,3715,177915,1610636,4.34,53.98,18.09,13.98,11.05,2.9
2016-09-30,168351,46218,95499,83,5813,65139,649785,179890,194897,36781,3600,170492,1616548,4.39,54.64,18.32,13.99,10.55,2.5
2016-10-31,168815,45775,97959,83,5888,65971,654656,177365,191671,40419,3631,171335,1623568,4.43,54.78,18.2,13.75,10.55,2.71
2016-11-30,169995,45531,99892,83,5911,66224,655619,175322,192593,40878,3686,169995,1625729,4.44,54.86,18.35,13.59,10.46,2.74
2016-12-31,175970,47725,103555,83,6047,67728,659970,169414,193039,36965,3760,172218,1636474,4.51,55.22,18.49,13.27,10.52,2.49
2017-01-31,174610,46929,99884,83,5878,65853,652907,167085,191891,36311,3567,174390,1619388,4.43,55.17,18.38,13.22,10.77,2.46
2017-02-28,176192,44591,99076,83,5892,66014,657291,165711,191116,38312,3745,172824,1620847,4.44,55.5,18.27,12.98,10.66,2.59
2017-03-31,180566,46962,104379,83,5966,66830,662552,173236,198304,32717,3532,177016,1652143,4.41,55.08,18.68,13.33,10.71,2.19
2017-04-30,184078,45791,104175,83,6035,67588,663897,169918,193116,33879,3460,173275,1645295,4.48,55.65,18.44,13.12,10.53,2.27
2017-05-31,179272,47540,104955,83,5968,66858,664901,179452,198037,38759,3398,179365,1668588,4.37,54.6,18.52,13.61,10.75,2.53
2017-06-30,183690,47979,106461,83,6023,67461,669591,175780,206999,37586,3539,182993,1688185,4.36,54.54,18.92,13.26,10.84,2.44
2017-07-31,183183,48269,107640,83,6051,67764,669309,171237,198827,43956,6922,179581,1682822,4.39,54.69,18.57,13.05,10.67,3.02
2017-08-31,182612,50932,109872,83,6037,67620,673310,175274,201347,44488,7042,181096,1699713,4.34,54.34,18.67,13.31,10.65,3.03
2017-09-30,187911,55208,115261,83,6068,67956,677641,176529,203957,35145,7314,171892,1704965,4.35,54.75,19.08,13.6,10.08,2.49
2017-10-31,186382,57389,116764,83,6012,67337,681743,164104,202593,39446,7363,169642,1698858,4.32,55.06,19.15,13.04,9.99,2.76
2017-11-30,188379,54350,118465,83,6044,67693,684153,162124,207222,38976,7335,172043,1706867,4.32,55.08,19.44,12.69,10.08,2.71
2017-12-31,190037,53442,118504,83,6152,68886,688239,165118,205003,35449,7430,181934,1720277,4.37,55.06,19.16,12.71,10.58,2.49
2018-01-31,155839,43739,90024,83,5907,66175,714309,183170,229481,38850,7448,168640,1703665,4.24,54.96,19.1,13.32,9.9,2.72
2018-02-28,157084,42562,89223,83,5891,66003,717106,180854,229309,39983,7407,167832,1703337,4.23,55.2,19.05,13.12,9.85,2.78
2018-03-31,161986,43232,91382,83,6010,67322,722143,181818,232821,32426,7466,175494,1722183,4.26,55.25,19.17,13.07,10.19,2.32
2018-04-30,160178,41301,91491,83,5920,66318,719101,183715,237052,37785,3810,174154,1720908,4.2,54.95,19.44,13.08,10.12,2.42
2018-05-31,160861,41737,93411,83,5964,66806,723131,188207,238945,38229,3806,190998,1752178,4.16,54.26,19.31,13.13,10.9,2.4
2018-06-30,164769,41539,95668,83,6007,67282,728307,183686,243888,37363,3783,187794,1760169,4.17,54.56,19.63,12.8,10.67,2.34
2018-07-31,163107,47669,96886,83,6005,67257,727096,178892,241826,39645,3661,200389,1772516,4.14,54.02,19.45,12.79,11.31,2.44
2018-08-31,165883,46378,97198,83,6031,67543,732265,175115,242776,40492,3774,187758,1765296,4.17,54.7,19.6,12.55,10.64,2.51
2018-09-30,166487,39815,95517,83,6043,67676,736270,181671,246045,38570,3747,199206,1781130,4.14,54.48,19.52,12.44,11.18,2.38
2018-10-31,165277,36114,99111,83,6009,67305,738124,185827,245465,39219,3720,185148,1771402,4.14,54.8,19.79,12.53,10.45,2.42
2018-11-30,170856,42773,119878,83,6054,67804,740158,177503,225822,37864,3688,176950,1769433,4.18,55.32,19.88,12.45,10.0,2.35
2018-12-31,169353,38393,122317,83,6129,68627,745179,177336,225823,36463,3886,177117,1770706,4.23,55.52,20.01,12.19,10.0,2.28
2019-01-31,165878,40346,116301,83,5930,66434,739003,175225,223284,37435,3898,176307,1750124,4.14,55.5,19.74,12.32,10.07,2.36
2019-02-28,167966,41019,114282,83,5928,66409,743717,169963,218967,36331,3900,177103,1745668,4.15,56.03,19.43,12.09,10.15,2.3
2019-03-31,169621,41756,115116,83,5981,67001,747229,175942,224151,31943,3803,176684,1759310,4.15,55.92,19.62,12.38,10.04,2.03
2019-04-30,169441,40139,116131,83,5954,66697,746542,178390,219900,36108,3728,173579,1756692,4.14,55.94,19.47,12.44,9.88,2.27
2019-05-31,172086,42282,117183,83,5998,67188,752237,170541,222153,34078,3611,173325,1760765,4.16,56.31,19.61,12.09,9.84,2.14
2019-06-30,172841,41540,117084,83,6061,67885,755164,171688,224762,34592,3691,179112,1774503,4.17,56.12,19.61,12.02,10.09,2.16
2019-07-31,171429,40272,119896,83,6044,67690,753520,174186,224023,37177,3659,182813,1780792,4.15,55.74,19.65,12.05,10.27,2.29
2019-08-31,174378,41215,118027,83,6140,68748,759119,183196,225552,52330,3767,174110,1806665,4.15,55.47,19.36,12.43,9.64,3.11
2019-09-30,174706,45977,118528,35,6207,68961,763409,181500,231701,37743,3679,182939,1815385,4.14,55.47,19.63,12.53,10.08,2.28
2019-10-31,174866,40580,120210,35,6175,68605,768078,178432,229446,37880,3679,179553,1807539,4.14,55.96,19.69,12.12,9.93,2.3
2019-11-30,181777,42010,121469,35,6249,69426,770152,181025,231089,35804,3543,179756,1822335,4.15,56.05,19.69,12.24,9.86,2.16
2019-12-31,179998,40033,123197,35,6271,69674,773829,182378,232110,34151,3594,179448,1824718,4.16,56.09,19.82,12.19,9.83,2.07
2020-01-31,180351,45825,118444,35,6123,68039,767908,181040,227537,36200,3833,177691,1813026,4.09,56.06,19.42,12.51,9.8,2.21
2020-02-29,183369,40523,118426,35,6129,68100,773663,186623,226157,34496,3884,177012,1818417,4.08,56.37,19.29,12.49,9.73,2.11
2020-03-31,187908,45081,130052,35,6130,68112,784042,221737,249001,33564,4427,209912,1940001,3.83,53.61,19.85,13.76,10.82,1.96
2020-04-30,190213,45225,138071,35,6255,69496,799266,220498,252217,35667,4051,200878,1961872,3.86,53.98,20.21,13.55,10.24,2.02
2020-05-31,201147,45148,150783,35,6494,72131,816781,216246,263471,36822,4429,204065,2017552,3.9,54.03,20.85,12.96,10.11,2.04
2020-06-30,202667,45223,157160,35,6642,73770,823690,213204,276242,36542,5102,219339,2059616,3.91,53.41,21.37,12.55,10.65,2.02
