DATE,LPMB5S9,LPMB6S2,LPMB6S3,LPMB75C,LPMB76C,LPMVYWO,LPMZ3TT,LPMZ3TV,LPMZ3TX,LPMVWLQ,LPMVWLW,RPMB3OM
31 Jan 2010,74540,20919,24741,83,4055,45714,457977,182914,131169,47312,3265,135650
28 Feb 2010,77783,19490,26424,83,4028,45416,460582,179730,131802,41396,3206,129119
31 Mar 2010,79066,18201,28166,83,4082,46018,463945,187103,139655,39170,2950,129068
30 Apr 2010,79149,21312,27035,83,4116,46387,464467,178193,132239,37050,2802,121759
31 May 2010,79173,22826,26357,83,4186,47161,462896,178744,132454,39988,2923,136848
30 Jun 2010,78557,22346,28043,83,4089,46091,462241,183437,136806,41794,2897,141997
31 Jul 2010,76902,20877,27302,83,4108,46299,461780,174613,135102,41023,2911,139522
31 Aug 2010,77084,20249,26862,83,4055,45716,459680,168112,134622,32453,3195,139108
30 Sep 2010,77711,20772,28424,83,4048,45642,460656,164492,138354,33494,3253,141595
31 Oct 2010,93526,22500,26231,83,4174,47036,445676,169020,135971,36533,3178,144485
30 Nov 2010,99044,20666,34489,83,4156,46837,446139,156917,135239,33678,3102,132966
31 Dec 2010,107383,24269,36931,83,4259,47970,440720,154472,135079,31752,3162,130401
31 Jan 2011,106460,22026,34461,83,4172,47013,435460,152547,130441,35312,3171,126354
28 Feb 2011,108295,21329,33499,83,4183,47129,433792,151058,131088,31491,3448,132470
31 Mar 2011,109030,20538,36788,83,4186,47165,434493,160240,141243,29489,2812,132042
30 Apr 2011,109867,24561,35270,83,4304,48471,432948,154132,132004,34616,3758,123703
31 May 2011,107415,23922,36745,83,4249,47857,426856,159786,137191,37371,3662,133526
30 Jun 2011,107313,19483,38363,83,4268,48067,425733,158071,141083,39675,3836,140309
31 Jul 2011,108039,22345,37194,83,4362,49110,426298,153421,136556,42216,3785,133600
31 Aug 2011,107893,24070,38139,83,4294,48353,425240,159186,136312,39195,3834,133890
30 Sep 2011,109565,23411,36588,83,4337,48832,429444,153995,143914,38680,3690,140289
31 Oct 2011,108623,20420,35647,83,4390,49423,432492,151971,139007,37635,3829,137165
30 Nov 2011,110340,13742,40558,83,4422,49773,433096,162625,136242,37120,3842,125935
31 Dec 2011,112625,17808,43290,83,4484,50457,437247,149101,133865,35512,4206,133398
31 Jan 2012,110407,16471,39862,83,4347,48942,433949,151607,132488,42651,3901,127873
29 Feb 2012,113722,17852,43013,83,4369,49185,435258,146555,128917,38932,3921,125599
31 Mar 2012,116458,19948,45311,83,4464,50232,437571,150616,134364,30909,3759,126944
30 Apr 2012,114201,20840,43617,83,4438,49952,434916,145171,132048,41240,3830,121550
31 May 2012,112748,17299,44994,83,4450,50085,434265,145106,132817,47225,3769,127692
30 Jun 2012,115509,18852,46103,83,4535,51017,444192,152639,135620,42349,3706,133659
31 Jul 2012,113920,22540,46191,83,4499,50620,444412,147600,133447,42946,3797,129332
31 Aug 2012,117450,24823,46304,83,4535,51019,449495,147566,133642,44867,3820,130798
30 Sep 2012,116068,22371,47281,83,4552,51206,454426,150532,136967,42013,3647,134457
31 Oct 2012,115420,22671,47136,83,4515,50804,458430,150237,135373,40286,3634,139514
30 Nov 2012,119727,31319,48652,83,4639,52170,465040,149484,137694,41957,3591,130202
31 Dec 2012,118050,29479,51560,83,4718,53039,470777,150074,139289,38147,3201,135251
31 Jan 2013,116474,27207,47575,83,4554,51229,472058,154119,142021,43694,3495,131272
28 Feb 2013,119429,26092,48442,83,4585,51576,479720,155461,142204,46023,3405,140514
31 Mar 2013,123753,30693,49548,83,4709,52946,484776,159841,145435,33198,3650,130909
30 Apr 2013,121098,32582,50443,83,4665,52456,483618,153080,144159,39693,3491,126971
